name,url,description
Bulbasaur,https://pokeapi.Co/api/v2/pokemon-species/1/,"While it is young, it uses the nutrients that are stored in the seed on its back in order to grow. It can go for days without eating a single morsel. In the bulb on its back, it stores energy. It can go for days without eating a single morsel. In the bulb on its back, it stores energy. Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger. A strange seed was planted on its back at birth. The plant sprouts and grows with this pokémon. While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow. It carries a seed on its back right from birth. As it grows older, the seed also grows larger. A strange seed was planted on its back at birth. The plant sprouts and grows with this pokémon. It carries a seed on its back right from birth. As it grows older, the seed also grows larger. Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger. A strange seed was planted on its back at birth. The plant sprouts and grows with this pokémon. For some time after its birth, it grows by gaining nourishment from the seed on its back. Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger. There is a plant seed on its back right from the day this pokémon is born. The seed slowly grows larger. There is a plant seed on its back right from the day this pokémon is born. The seed slowly grows larger. The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows. The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows. For some time after its birth, it grows by gaining nourishment from the seed on its back."
Ivysaur,https://pokeapi.Co/api/v2/pokemon-species/2/,"The bud on its back grows by drawing energy. It gives off an aroma when it is ready to bloom. There is a bud on this pokémon’s back. To support its weight, ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon. There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower. When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs. When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom. There is a bud on this pokémon’s back. To support its weight, ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon. If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom. When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs. There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower. When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs. The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms. To support its bulb, ivysaur’s legs grow sturdy. If it spends more time lying in the sunlight, the bud will soon bloom into a large flower. When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom. The bulb on its back grows by drawing energy. It gives off an aroma when it is ready to bloom. Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger. If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom. Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger. Exposure to sun\xad light adds to its strength. Sunlight also makes the bud on its back grow larger."
Venusaur,https://pokeapi.Co/api/v2/pokemon-species/3/,"The flower on its back catches the sun’s rays. The sunlight is then absorbed and used for energy. It is able to convert sunlight into energy. As a result, it is more powerful in the summertime. By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power. A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle. As it warms it\xad self and absorbs the sunlight, its flower petals release a pleasant fragrance. By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power. It is able to con\xad vert sunlight into energy. As a result, it is more powerful in the summertime.', 'By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power.', 'there is a large flower on venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people. A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle. Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight. There is a large flower on venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people. After a rainy day, the flower on its back smells stronger. The scent attracts other pokémon.', 'The flower on its back catches the sun's rays. The sunlight is then absorbed and used for energy.', 'the plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight. After a rainy day, the flower on its back smells stronger. The scent attracts other pokémon. Venusaur’s flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people. Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight."
Charmander,https://pokeapi.Co/api/v2/pokemon-species/4/,"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out. The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when charmander is enjoying itself. If the pokémon becomes enraged, the flame burns fiercely. Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.', 'If it's healthy, the flame on the tip of its tail will burn vigor\xad ously, even if it gets a bit wet.', 'the flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly. The flame on its tail indicates charmander’s life force. If it is healthy, the flame burns brightly. The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when charmander is enjoying itself. If the pokémon becomes enraged, the flame burns fiercely. The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when charmander is happy, and blazes when it is enraged. It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail. The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely. The flame at the tip of its tail makes a sound as it burns. You can only hear it in quiet places. From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out. It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.', 'The flame on its tail indicates charmander's life force. If it is healthy, the flame burns brightly.', 'the flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly. The flame at the tip of its tail makes a sound as it burns. You can only hear it in quiet places. The flame on its tail indicates charmander’s life force. If it is healthy, the flame burns brightly. From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out."
Charmeleon,https://pokeapi.Co/api/v2/pokemon-species/5/,"Without pity, its sharp claws destroy foes. If it encounters a strong enemy, it becomes agitated, and the flame on its tail flares with a bluish white color. Tough fights could excite this pokémon. When excited, it may breathe out bluish-white flames. If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings. It is very hot\xad headed by nature, so it constantly seeks opponents. It calms down only when it wins. When it swings its burning tail, it elevates the air temperature to unbearably high levels. If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings. Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color. It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws. Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color. When it swings its burning tail, it elevates the temperature to unbearably high levels. Tough fights could excite this pokémon. When excited, it may blow out bluishwhite flames. It lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws. It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws. In the rocky mountains where charmeleon live, their fiery tails shine at night like stars. When it swings its burning tail, it elevates the air temperature to  unbearably high levels. In the rocky mountains where charmeleon live, their fiery tails shine at night like stars. It lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws. Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color. It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws. It is very hotheaded by nature, so it constantly seeks opponents. It calms down only when it wins."
Charizard,https://pokeapi.Co/api/v2/pokemon-species/6/,"When expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely. Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself. If charizard becomes furious, the flame at the tip of its tail flares up in a light blue shade. If charizard be\xad comes furious, the flame at the tip of its tail flares up in a whitishblue color. It is said that charizard’s fire burns hotter if it has experienced harsh battles. Its wings can carry this pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures. Breathing intense, hot flames, it can melt almost any\xad thing. Its breath inflicts terrible pain on enemies. When expelling a blast of super hot fire, the red flame at the tip of its tail burns more intensely. Breathing intense, hot flames, it can melt almost anything. Its breath inflicts terrible pain on enemies. Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself. It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames. When this pokémon expels a blast of superhot fire, the red flame at the tip of its tail burns more intensely. Its wings can carry this pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures. It uses its wings to fly high. The temperature of its fire increases as it gains exper\xad ience in battle. Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally. It is said that charizard’s fire burns hotter if it has experienced harsh battles. A charizard flies about in search of strong opponents. It breathes intense flames that can melt any material. However, it will never torch a weaker foe. It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames."
Squirtle,https://pokeapi.Co/api/v2/pokemon-species/7/,"Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this pokémon to swim at high speeds. The shell is soft when it is born. It soon becomes so resilient, prod\xad ding fingers will bounce off it. After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth. Shoots water at prey while in the water. Withdraws into its shell when in danger. Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this pokémon to swim at high speeds. When it feels threatened, it draws its legs inside its shell and sprays water from its mouth. The shell is soft when it is born. It soon becomes so resilient, prodding fingers will bounce off it. Its shell is not just for protection. Its rounded shape and the grooves on its surface minimize resistance in water, enabling squirtle to swim at high speeds. Shoots water at prey while in the water. Withdraws into its shell when in danger. The shell, which hardens soon after it is born, is resilient. If you poke it, it will bounce back out. When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth. Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this pokémon to swim at high speeds. The shell, which hardens soon after it is born, is resilient. If you poke it, it will bounce back out. It shelters itself in its shell, then strikes back with spouts of water at every opportunity. After birth, its back swells and hardens into a shell. It powerfully sprays foam  from its mouth. Shoots water at prey while in the water. Withdraws into its shell when in danger. It shelters itself in its shell, then strikes back with spouts of water at every opportunity. When it retracts its long neck into its shell, it squirts out water with vigorous force. When it retracts its long neck into its shell, it squirts out water with vigorous force. It shelters itself in its shell then strikes back with spouts of water at every opportunity."
Wartortle,https://pokeapi.Co/api/v2/pokemon-species/8/,"When tapped, this pokémon will pull in its head, but its tail will still stick out a little bit. This pokémon is very popular as a pet. Its fur-covered tail is a symbol of its longevity. It cleverly controls its furry ears and tail to maintain its balance while swimming. It is recognized as a symbol of longevity. If its shell has algae on it, that wartortle is very old. When tapped, this pokémon will pull in its head, but its tail will still stick out a little bit. Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as wartortle ages. The scratches on its shell are evidence of this pokémon’s toughness as a battler. Its large tail is covered with rich, thick fur that deepens in color with age. The scratches on its shell are evidence of this pokémon’s toughness in battle. It often hides in water to stalk unwary prey. For fast swimming, it moves its ears to maintain balance. It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity. It is recognized as a symbol of longevity. If its shell has algae on it, that wartortle is very old. It cleverly controls its furry ears and tail to maintain its balance while swimming. Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as wartortle ages. The scratches on its shell are evidence of this pokémon’s toughness as a battler. It is a well-established symbol of longevity. If its shell has algae on it, that wartortle is very old. Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance. It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity. When tapped on its head, this pokémon will pull it in, but its tail will still stick out a little bit. It cleverly con\xad trols its furry ears and tail to maintain its balance while swimming. Its long, furry tail is a symbol of longevity, making it quite popular among older people."
Blastoise,https://pokeapi.Co/api/v2/pokemon-species/9/,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell. Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet. It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell. It deliberately makes itself heavy so it can with\xad stand the recoil of the water jets it fires. The pressurized water jets on this brutal pokémon’s shell are used for highspeed tackles. The rocket cannons on its shell fire jets of water capable of punch\xad ing holes through thick steel. The jets of water it spouts from the rocket cannons on its shell can punch through thick steel. The waterspouts that protrude from its shell are highly accurate. Their bullets of water can precisely nail tin cans from a distance of over 160 feet. It deliberately makes itself heavy so it can withstand the recoil of the water jets it fires. The pressurized water jets on this brutal pokémon’s shell are used for high-speed tackles. It firmly plants its feet on the ground before shooting water from the jets on its back. Once it takes aim at its enemy, it blasts out water with even more force than a fire hose. The rocket cannons on its shell fire jets of water capable of punching holes through thick steel. Once it takes aim at its enemy, it blasts out water with even more force than a fire hose. Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet. Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet. The rocket cannons on its shell fire jets of water capable of punching holes through thick steel. A brutal pokémon with pressurized water jets on its shell. They are used for high speed tackles."
Caterpie,https://pokeapi.Co/api/v2/pokemon-species/10/,"It crawls into foliage where it camouflages itself among leaves that are the same color as its body. Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this pokémon releases a terrifically strong odor. Its voracious appetite compels it to devour leaves bigger than itself without hesitation. It releases a terribly strong odor from its antennae. Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this pokémon releases a terrifically strong odor. If you touch the feeler on top of its head, it will release a horrible stink to protect itself. For protection, it releases a horrible stench from the antennae on its head to drive away enemies. For protection, it releases a horrible stench from the antennae on its head to drive away enemies. Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to forage. It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly. For protection, it releases a horri\xad ble stench from the antenna on its head to drive away enemies. Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this pokémon releases a terrifically strong odor. Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls. Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to forage. It is covered with a green skin. When it grows, it sheds the skin, covers itself with silk, and becomes a cocoon. Perhaps because it would like to grow up quickly, it has a voracious appetite, eating a hundred leaves a day. Its body is soft and weak. In nature, its perpetual fate is to be seen by others as food. For protection, it releases a horrible stench from the antenna on its head to drive away enemies. Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls. Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to forage. When attacked by bird pokémon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey. Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls. It’s easy to catch, and it grows quickly, making it one of the top recommendations for novice pokémon trainers. If you touch the feeler on top of its head, it will release a horrible stink to protect itself."
