vec_0,vec_1,vec_2,vec_3,vec_4,vec_5,vec_6,vec_7,vec_8,vec_9,vec_10,vec_11,vec_12,vec_13,vec_14,vec_15,vec_16,vec_17,vec_18,vec_19,vec_20,vec_21,vec_22,vec_23,vec_24,vec_25,vec_26,vec_27,vec_28,vec_29,vec_30,vec_31,vec_32,vec_33,vec_34,vec_35,vec_36,vec_37,vec_38,vec_39,vec_40,vec_41,vec_42,vec_43,vec_44,vec_45,vec_46,vec_47,vec_48,vec_49,vec_50,vec_51,vec_52,vec_53,vec_54,vec_55,vec_56,vec_57,vec_58,vec_59,vec_60,vec_61,vec_62,vec_63,vec_64,vec_65,vec_66,vec_67,vec_68,vec_69,vec_70,vec_71,vec_72,vec_73,vec_74,vec_75,vec_76,vec_77,vec_78,vec_79,vec_80,vec_81,vec_82,vec_83,vec_84,vec_85,vec_86,vec_87,vec_88,vec_89,vec_90,vec_91,vec_92,vec_93,vec_94,vec_95,vec_96,vec_97,vec_98,vec_99,name
-0.114256926,0.07475267,0.012027789,0.04524536,0.032074265,-0.16589235,0.11461228,0.28462747,-0.07306381,-0.1570099,-0.043945417,-0.15601712,-0.02629345,-0.014236329,-0.00038235143,-0.12205687,0.12945266,-0.029259754,-0.051571973,-0.14447379,0.07114449,0.050616093,0.14382528,-0.16083783,-0.025602913,0.039538573,-0.07335773,-0.038282424,-0.13884537,0.0022690736,0.12478495,-0.07487797,-0.00096331234,-0.22067481,-0.033320103,0.055760812,0.046615455,-0.108799785,0.009266314,-0.15503618,0.09301051,-0.10010721,-0.077501796,-0.03255069,0.20189843,0.0114468,-0.18409735,-0.04818755,0.11504233,0.035235293,0.06434104,-0.12802772,0.008416357,-0.02422239,-0.13034809,0.026047818,0.060465723,-0.0146534555,-0.17245552,0.107740685,-0.009837924,0.0039973482,0.04347161,-0.014554727,-0.1065808,0.18078855,-0.022061175,0.11106934,-0.119411014,0.12766257,-0.12312136,0.084641546,0.1595128,-0.029872818,0.116657905,0.0016912641,0.052583657,0.0046240343,-0.107454576,-0.009166965,-0.12690535,0.02349164,-0.061879214,0.18350394,-0.08244321,-0.12337221,0.075741,0.02877059,0.039300203,0.05363204,0.18478239,-0.009302183,0.1081399,-0.076690175,0.14713456,0.04845258,0.06691059,-0.1108135,-0.023533138,0.022548899,bulbasaur
-0.11592195,0.076722674,0.013360044,0.045870025,0.032743752,-0.16845156,0.11665126,0.28805214,-0.07281646,-0.15787652,-0.044276748,-0.15741847,-0.025492895,-0.013494214,0.0011188216,-0.12287351,0.13070361,-0.029021313,-0.051867086,-0.1448998,0.07227199,0.051967703,0.14540398,-0.15958047,-0.026850317,0.03884861,-0.07351662,-0.039002445,-0.13780496,-0.0010515539,0.12508838,-0.074312225,-0.0021108391,-0.21893449,-0.032924544,0.0550579,0.048300702,-0.110568516,0.00780594,-0.15236907,0.0919547,-0.09940761,-0.07600354,-0.03156703,0.20313066,0.011497965,-0.18299069,-0.04958535,0.11640169,0.035194315,0.06289996,-0.1271246,0.008340125,-0.025044058,-0.13164152,0.02810231,0.062094208,-0.013086361,-0.17235355,0.110063575,-0.0094530005,0.004957114,0.042675517,-0.015190464,-0.10641116,0.1782778,-0.021951847,0.1110322,-0.11773619,0.12717357,-0.12172453,0.08260551,0.15940957,-0.028900921,0.116323546,0.0041875415,0.05085334,0.0046680397,-0.10832599,-0.0075256117,-0.12520531,0.024822773,-0.06001927,0.18281423,-0.08066531,-0.11962056,0.07590224,0.02986094,0.04031708,0.052729826,0.18215296,-0.009522574,0.105579354,-0.076144844,0.14745723,0.05034103,0.06767705,-0.11321316,-0.023686808,0.0224603,ivysaur
-0.11437315,0.07426233,0.010087686,0.045139983,0.03152259,-0.1654619,0.11372078,0.28335896,-0.07374659,-0.15595588,-0.043876376,-0.15487806,-0.025353597,-0.0137693025,0.0013089468,-0.12306233,0.13005729,-0.03166178,-0.05141617,-0.14698027,0.07101566,0.05210142,0.1454372,-0.15912472,-0.024809096,0.038994316,-0.07608484,-0.036358576,-0.14056166,0.0022409742,0.1261412,-0.074965455,-0.0009972926,-0.21928032,-0.0333914,0.056243405,0.046048824,-0.109413736,0.00860879,-0.15602003,0.091451555,-0.098521665,-0.07777063,-0.032018147,0.20229949,0.011359921,-0.18540789,-0.048583623,0.11589157,0.035867654,0.06271554,-0.12750068,0.008923268,-0.024671026,-0.12933353,0.025234146,0.05975743,-0.014570754,-0.17408493,0.10723212,-0.009068196,0.0042830645,0.044251688,-0.015293053,-0.10787612,0.17950907,-0.021969454,0.11079678,-0.11962281,0.12637292,-0.122310236,0.08521261,0.15847622,-0.030626899,0.115627624,0.0023996492,0.053031113,0.0062004956,-0.1082317,-0.009390532,-0.12568273,0.022213778,-0.06254712,0.18495485,-0.08159586,-0.1243467,0.0765513,0.030187288,0.04033234,0.05271794,0.18325157,-0.008145221,0.107644856,-0.076239064,0.14842844,0.04886704,0.06727676,-0.11218935,-0.021780565,0.021788862,venusaur
-0.11376248,0.07491061,0.010497108,0.046763822,0.034170244,-0.16226558,0.11468674,0.27829054,-0.07374104,-0.15398444,-0.04471367,-0.1557414,-0.027540289,-0.01354404,-0.0007927966,-0.124984,0.13229895,-0.025563618,-0.05589415,-0.1407978,0.071291916,0.049437016,0.14486992,-0.16302004,-0.0225419,0.037881903,-0.072127305,-0.0381867,-0.14237614,0.003213948,0.12964837,-0.077772476,-0.0028425301,-0.2204023,-0.03394784,0.053617455,0.047242876,-0.10640026,0.015247546,-0.1524824,0.09092742,-0.09889933,-0.07497536,-0.03173283,0.19881313,0.0149121685,-0.18253525,-0.04555262,0.115856424,0.03450754,0.06824869,-0.12921874,0.00836366,-0.02635862,-0.13199478,0.027022446,0.063186,-0.013321411,-0.17632465,0.10882165,-0.00879871,0.0031999466,0.04378546,-0.016299939,-0.1046661,0.18075372,-0.021174544,0.11328377,-0.118806936,0.12806587,-0.1228601,0.084543236,0.16180469,-0.027465958,0.11642629,0.00031623823,0.050732095,0.0065523563,-0.1067401,-0.011476696,-0.12939033,0.022857694,-0.06372698,0.1807207,-0.08163112,-0.12708671,0.07558566,0.025288455,0.03975037,0.052121907,0.18528749,-0.010337381,0.11137268,-0.079990506,0.14800954,0.049218092,0.06809647,-0.11144146,-0.025603078,0.01976937,charmander
-0.116669044,0.0773375,0.01480799,0.04740303,0.033015728,-0.17439197,0.11823577,0.29158312,-0.07033495,-0.15930642,-0.04273637,-0.15788582,-0.027249698,-0.010914375,-0.00081387337,-0.12350413,0.123596214,-0.02706891,-0.050585855,-0.1419242,0.06707995,0.04914271,0.14248998,-0.15804549,-0.022113465,0.036291722,-0.070834644,-0.037791565,-0.13488895,-0.00556535,0.11913108,-0.07278478,0.0007518747,-0.22272573,-0.033461463,0.051425878,0.05079539,-0.11738499,0.007724686,-0.15634915,0.08812444,-0.10039706,-0.08287767,-0.031949893,0.2082891,0.011215427,-0.18717109,-0.04898146,0.11465966,0.039002117,0.06230791,-0.122699715,0.00715717,-0.025367476,-0.12589948,0.027522266,0.06084202,-0.01562651,-0.16909954,0.111340895,-0.01161348,0.004403452,0.039660428,-0.020307465,-0.106966764,0.17635033,-0.01942388,0.10994185,-0.1158564,0.1292589,-0.1212292,0.08456568,0.15964794,-0.029735034,0.1183782,0.007709289,0.04698503,0.00033894778,-0.10887246,-0.0095652025,-0.12358308,0.028774383,-0.05611161,0.18335389,-0.08235245,-0.11597553,0.07523598,0.02558733,0.03993749,0.0578183,0.18042254,-0.011248673,0.10559847,-0.076072566,0.14870249,0.053027455,0.06399592,-0.11341782,-0.025202306,0.019994259,charmeleon
-0.11480213,0.07258957,0.011022156,0.043856885,0.03036779,-0.16998494,0.11435195,0.2854758,-0.07236726,-0.1582468,-0.042257253,-0.15747002,-0.024870204,-0.012966427,-0.0010065187,-0.1233735,0.12696452,-0.033713218,-0.048831154,-0.1497965,0.06934822,0.054381177,0.14556506,-0.1564843,-0.027767263,0.037774835,-0.07653519,-0.03749844,-0.13678367,-0.003265663,0.123383485,-0.071629606,5.6541336e-05,-0.21711949,-0.03528983,0.055605512,0.04613177,-0.11351279,0.0047962028,-0.1546695,0.091287345,-0.099473745,-0.080067836,-0.03163678,0.20339479,0.009911858,-0.18719393,-0.05148348,0.1170428,0.03732289,0.059053414,-0.12711653,0.010718863,-0.023886751,-0.1261369,0.026523072,0.060598284,-0.016160069,-0.17257707,0.11014736,-0.010066604,0.0025584074,0.044642888,-0.017389013,-0.112216964,0.17749178,-0.02361355,0.109971546,-0.11925279,0.12615952,-0.12181776,0.08400277,0.15957348,-0.03219499,0.117139675,0.0050158245,0.051820524,0.003925749,-0.111415066,-0.008816565,-0.122314334,0.024304014,-0.05993952,0.18720452,-0.082291745,-0.119836144,0.0752972,0.031864345,0.042253137,0.05441957,0.18108825,-0.008672735,0.10315424,-0.07444405,0.14793527,0.05185155,0.066235624,-0.11323365,-0.019660775,0.021602046,charizard
-0.11408935,0.07585034,0.013303302,0.049146928,0.033393994,-0.16700193,0.116317995,0.28308916,-0.07114233,-0.1593535,-0.043559924,-0.15791184,-0.02744875,-0.012218326,-0.0014314926,-0.12428673,0.12918122,-0.026507968,-0.052246213,-0.14002456,0.0705884,0.050431434,0.14412849,-0.16204554,-0.023531027,0.037571304,-0.071794845,-0.039689608,-0.13653779,-0.0009981354,0.123722605,-0.07471255,-0.002027408,-0.22055085,-0.03493192,0.05292596,0.049159892,-0.11123777,0.011058629,-0.15238258,0.08991412,-0.09995172,-0.07612635,-0.033019952,0.20251577,0.0139315445,-0.18318501,-0.04849173,0.11685997,0.03642555,0.06420031,-0.1272845,0.008229264,-0.026158351,-0.12963371,0.027899468,0.063480265,-0.0148293,-0.17492066,0.11209251,-0.010250706,0.0038028376,0.042155325,-0.017588843,-0.105149776,0.17973253,-0.02073179,0.11306771,-0.11744556,0.12892482,-0.12204978,0.08355232,0.16084506,-0.029144121,0.118672036,0.0030755524,0.04776457,0.0033386818,-0.10725304,-0.009451487,-0.12667339,0.026101716,-0.060031068,0.18216026,-0.080319084,-0.12148698,0.076989025,0.025875049,0.03988617,0.05576776,0.18297558,-0.011628288,0.109026305,-0.07920427,0.14807226,0.051144592,0.06387513,-0.112336494,-0.0249509,0.021215646,squirtle
-0.11259217,0.06698035,0.010790459,0.04515085,0.02601448,-0.16800454,0.11171175,0.2827903,-0.072289266,-0.15796764,-0.03908307,-0.15115517,-0.02530419,-0.01639759,-0.0003580722,-0.11473353,0.13244267,-0.03639063,-0.046787973,-0.15176201,0.068334214,0.05536149,0.14665566,-0.15721756,-0.027913222,0.0406501,-0.08242359,-0.0331483,-0.13802491,8.05968e-05,0.1252814,-0.07246896,0.0048757815,-0.2148899,-0.033643987,0.05523553,0.044053674,-0.11620326,0.0018636852,-0.15234022,0.09234963,-0.09813194,-0.080229804,-0.03250154,0.20369242,0.0067064585,-0.18757915,-0.052447513,0.120325536,0.038333125,0.05600168,-0.12781374,0.012304601,-0.021772768,-0.12554681,0.02508232,0.059164457,-0.01630224,-0.17088772,0.11065242,-0.010874695,0.0029254283,0.04708294,-0.015262609,-0.11065257,0.18268272,-0.02618877,0.10818949,-0.12135898,0.12460579,-0.12359067,0.08565475,0.15651423,-0.035953566,0.11540949,0.0009359771,0.05760305,0.003797064,-0.109003246,-0.010997973,-0.12591854,0.022509644,-0.06241434,0.19597217,-0.081900224,-0.123204015,0.0776436,0.03554078,0.042466164,0.055899374,0.18383265,-0.010029087,0.104510166,-0.072861634,0.14445564,0.04398313,0.06349457,-0.10961713,-0.016201874,0.02486404,wartortle
-0.116213545,0.07708675,0.011129632,0.04523656,0.033847988,-0.16797973,0.11418227,0.28345612,-0.07168341,-0.15840636,-0.044380173,-0.16014579,-0.025809288,-0.013182437,-0.001895888,-0.12619281,0.12521784,-0.029744761,-0.050627753,-0.142703,0.071357705,0.050192256,0.14262201,-0.15969975,-0.025375413,0.038093492,-0.070899054,-0.039127152,-0.1363323,-0.0004896647,0.12377999,-0.07405484,-0.003429644,-0.22253723,-0.034753002,0.05670901,0.04963475,-0.10966707,0.009196843,-0.15652396,0.092912026,-0.10101047,-0.078826845,-0.03327659,0.20234644,0.01316698,-0.1848517,-0.048455693,0.11270027,0.03532341,0.06611896,-0.12567936,0.008772111,-0.024532557,-0.12842739,0.02612705,0.062057633,-0.014706613,-0.17428412,0.10721849,-0.01016982,0.0028599787,0.043195855,-0.017392425,-0.10717796,0.1784853,-0.020270785,0.11211907,-0.11762453,0.1284055,-0.123732805,0.08381852,0.16038732,-0.028441353,0.11733417,0.0036283229,0.048651583,0.004269202,-0.10780786,-0.008149965,-0.12680876,0.025157897,-0.060329385,0.18016866,-0.08292855,-0.123247825,0.07464666,0.027539289,0.03878961,0.055083394,0.18292941,-0.008155238,0.1075573,-0.078322835,0.14980908,0.051406577,0.065228485,-0.11071442,-0.02462626,0.021251665,blastoise
-0.117762394,0.07411984,0.013028969,0.046406433,0.030053817,-0.17454739,0.1159728,0.29303873,-0.07163282,-0.15863654,-0.0418486,-0.1564156,-0.02618945,-0.012409115,0.00091957557,-0.120088294,0.12591037,-0.03400581,-0.047482006,-0.14975415,0.06819084,0.053506516,0.14528933,-0.15516904,-0.025730647,0.03884216,-0.077894494,-0.0354248,-0.13565713,-0.0057627596,0.12073803,-0.07173922,0.0012719049,-0.21905884,-0.033225965,0.054633167,0.048385065,-0.118591145,0.0024960446,-0.15393205,0.091110356,-0.10101478,-0.08358181,-0.03165567,0.21033216,0.0088006025,-0.18895032,-0.0525379,0.11704383,0.039812688,0.05733481,-0.124024875,0.009529381,-0.023658462,-0.12516628,0.025818313,0.05935574,-0.015676187,-0.16938142,0.110890694,-0.010870854,0.004983964,0.04171047,-0.018174622,-0.11030119,0.17581095,-0.022009837,0.10820475,-0.11725074,0.12736244,-0.12124357,0.082572795,0.1564889,-0.0339086,0.115311936,0.0068292604,0.050296716,0.0015756501,-0.1079599,-0.009307034,-0.121266015,0.02515551,-0.057332966,0.18780583,-0.08035882,-0.11470379,0.075138,0.031814963,0.041307237,0.05600773,0.17695129,-0.0097884815,0.102688335,-0.072979055,0.14771563,0.051077157,0.06397173,-0.11243172,-0.020999001,0.02316336,caterpie
