name,description,category,type,height,weight
bulbasaur,"A Bulbasaur often rests in bright places so its bulb can absorb sunlight. It can be seen napping in bright sunlight. While it sleeps, the seed on its back catches the rays and uses the energy to grow. In the wild, Bulbasaur tend to be very rare, as they are shy creatures that prefer the company of their own kind. However, they are also generally very docile, tame, and loyal to people that they trust, and for that reason are one of the species of Pokémon available for starting trainers to choose in the region of Kanto.
",Seed Pokémon,"grass,poison",2′04″,15.2
ivysaur,"Ivysaur are able to naturally learn the powerful Grass-type attack Solar Beam, a move whose execution time depends largely upon the weather; it takes an excruciatingly long amount of time to perform this attack in hail, rain, or a sandstorm, but nearly no time at all in bright sunlight. Luckily, the latter is ​most common in the habitats of these Pokémon, as it is vital that the bulbs on their backs receive ample sunlight so that they can photosynthesize and develop. As the bulbs grow larger and these Ivysaur become more powerful, they must spend increasing amounts of time in the sun in order to foster their growth. When Ivysaur are preparing to evolve into Venusaur, they will spend more time sunbathing and their bulbs will begin emanating a sweet, pleasant aroma.
",Seed Pokémon,"grass,poison",3′03″,28.7
venusaur,"Venusaur are powerful but relatively nonviolent Pokémon. Despite their menacing appearances, Venusaur are docile Pokémon, preferring to sunbathe so that the plants on their backs can photosynthesize rather than fight. They follow sunny patches that reach the forest floor as the sun moves across the sky. With enough solar energy, the flowers on their backs can release a fragrance that calms both hostile Pokémon and people alike. The scent also attracts a number of Bug-type Pokémon to the flowers as well to aid in their pollination during the breeding season. This ability allows Venusaur to serve as peacekeepers of sorts in their native forests, not only stopping fights that break out in their territories, but also defending their domains from dangers with their might if necessary. Female Venusaur have seeds in their flowers, which they plant into the backs of their offspring to grow into new plants. Their gentle dispositions but great power are what make them one of the most well-rounded Pokémon any Kantonian trainer could start their Pokémon journeys with.
",Seed Pokémon,"grass,poison",6′07″,220.5
charmander,"Charmander is easily the most mild-mannered and well-behaved of its evolution line. Its feelings and emotions can be read by the flame on the tip of its tail. It flares up in a fury when Charmander is angry. The flame will flicker and grow small and dim If Charmander is sick or hurt. If it growls that means it's angry or is about to attack.
Charmander however doesn't do well with impatient people. It doesn't appreciate being rushed, and most of the time, will not allow it. It is a sweet Pokémon, but is feisty nonetheless. Charmander doesn't enjoy accepting favors, because it feels it owes something in return. It is extremely loyal to its loved ones, and knows a good thing when it sees it. It will treat those in its life accordingly.
Charmander is rarely found in the wild since it's a First partner Pokémon. Sometimes they gather in extremely hot areas such as active volcanoes or in craggy mountains and in caves along the coast of the Sevii Islands.

",Lizard Pokémon,fire,2′00″,18.7
charmeleon,"Charmeleon, like its other evolutionary forms, can naturally breathe fire. Its powers, though, are much greater than Charmander's, but not as great as Charizard's.
Charmeleon is also much more aggressive than Charmander. It is believed to have a vicious nature and will constantly seek out opponents. Strong opponents excite this Pokémon, causing it to spout bluish-white flames that torch its surroundings. It is a very ruthless, pitiless and zealous fighter often using its claws. However, it will relax once it has won.
In their fervor, their tails often begin to burn a bluish-white; at night, they can light up mountainsides like stars if groups of them are present. Enraged Charmeleon often take out their anger on their surroundings, incinerating anything flammable around them with unrestrained Flamethrowers. 
This stage is often likened to a human’s teenage years--moody and reckless. For starting trainers, reining in disobedient Charmeleon can be extremely challenging, as well as potentially dangerous if not handled well. However, with proper care and treatment, a trainer can earn a Charmeleon’s respect, and eventually its obedience as well.
Charmeleon, along with Charmander and Charizard, can be found in hot, rocky mountainous areas.
",Flame Pokémon,fire,3′07″,41.9
charizard,"Charizard are noble and will not turn the full power of their flame on opponents significantly weaker than they are. Charizards are also known to be very eager to battle. Charizard seeks out stronger foes and only breathes fire during battles with worthy opponents. The fiery breath is so hot that it can turn any material to slag. They can be very dangerous and aggressive if provoked. But like Charmander and Charmeleon, it is friendly and affectionate with its Trainer. Charizard only ignores its Trainer if it feels it's Trainer does not care about it. Only a weak Charizard shows off its power, as said by Liza in Charizard's Burning Ambitions.
",Flame Pokémon,"fire,flying",5′07″,199.5
squirtle,"Squirtle is usually well behaved, yet it has an underlying rebellious streak. It likes to be open with only a limited number of people and won't advertise its secrets. It prefers to stay within a close knit group, but can still enjoy making new friends. Other Pokémon may regard it as difficult and hard to get along with, but only if they have previously gotten on its bad side.",Tiny Turtle Pokémon,water,1′08″,19.8
wartortle,"They use water to cloak themselves before attacking prey and swiftly swimming after them, using their ears and tails to balance themselves.
Wartortle pride themselves on scratched shells, as they show toughness in battle. Generally, it is believed that the more scratches a Wartortle gains during this stage, the stronger it will be after evolution.
",Turtle Pokémon,water,3′03″,49.6
blastoise,"Blastoise can take the role of a leader in large groups of Squirtle and Wartortle. Its preferred habitat seems to be freshwater ponds and lakes. Blastoise are watchful Pokémon. They dislike humans in their territory, but will not attack unless provoked. They tend to fight when they sense danger.
",Shellfish Pokémon,water,5′03″,188.5
caterpie,"Caterpie are known for their great appetites, usually eating many leaves before creating cocoons to evolve. They use self-made silk to both produce cocoons for evolution.
As weak, soft-bodied Pokémon, Caterpie attempt to gather as much energy as possible to hasten their evolutions into Metapod, and afterwards into Butterfree. However, they are not completely defenseless and do have a few tricks up their sleeves. Firstly, the large eyes on their heads can trick and confuse predators into thinking they are dealing with much larger Pokémon. Secondly, the suction pads on their feet allow them to climb nearly any surface and escape from predators. Additionally, Caterpie can use String Shot to slow down their enemies and buy time for escape. Finally, the antennae on their heads release a very noxious odor when disturbed. These defense mechanisms allow Caterpie to thrive in their native habitats, and combined with the large clutch sizes of Butterfree, make them are one of the most common Pokémon trainers encounter in forests.
",Worm Pokémon,bug,1′00″,6.4
